gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_Flag,TenureBand,RevenueTier,CustomerLifetimeValue,RevenueRisk,RiskScore,RiskCategory,CustomerValue,RevenueBand
Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,0,0-12 Months,Low,29.85,0.0,70,High,Low Value,Low Revenue
Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,0,25-48 Months,Medium,1936.3000000000002,0.0,0,Low,Medium Value,Medium Revenue
Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,1,0-12 Months,Medium,107.7,53.85,70,High,Low Value,Medium Revenue
Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,0,25-48 Months,Medium,1903.4999999999998,0.0,0,Low,Medium Value,Medium Revenue
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,1,0-12 Months,High,141.4,70.7,100,High,Low Value,High Revenue
Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,1,0-12 Months,High,797.2,99.65,100,High,Low Value,Premium Revenue
Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,0,13-24 Months,High,1960.1999999999998,0.0,70,High,Medium Value,High Revenue
Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,0,0-12 Months,Low,297.5,0.0,70,High,Low Value,Low Revenue
Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,1,25-48 Months,High,2934.4,104.8,70,High,Medium Value,Premium Revenue
Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,0,49-72 Months,Medium,3481.2999999999997,0.0,0,Low,Medium Value,Medium Revenue
Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,0,13-24 Months,Medium,649.35,0.0,40,Medium,Low Value,Medium Revenue
Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,0,13-24 Months,Low,303.2,0.0,0,Low,Low Value,Low Revenue
Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,0,49-72 Months,High,5820.299999999999,0.0,30,Low,High Value,Premium Revenue
Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,1,49-72 Months,High,5081.3,103.7,70,High,High Value,Premium Revenue
Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,0,25-48 Months,High,2637.5,0.0,70,High,Medium Value,Premium Revenue
Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,0,49-72 Months,High,7814.25,0.0,30,Low,High Value,Premium Revenue
Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,No,0,49-72 Months,Low,1073.8,0.0,0,Low,Medium Value,Low Revenue
Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,0,49-72 Months,High,7575.7,0.0,30,Low,High Value,Premium Revenue
Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,1,0-12 Months,Medium,552.0,55.2,70,High,Low Value,Medium Revenue
Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,0,13-24 Months,High,1891.05,0.0,70,High,Medium Value,Premium Revenue
Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,1,0-12 Months,Medium,39.65,39.65,70,High,Low Value,Medium Revenue
Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No,0,0-12 Months,Low,237.60000000000002,0.0,30,Low,Low Value,Low Revenue
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,1,0-12 Months,Low,20.15,20.15,70,High,Low Value,Low Revenue
Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,0,49-72 Months,Medium,3474.2,0.0,0,Low,Medium Value,Medium Revenue
Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,0,49-72 Months,Medium,2920.4,0.0,40,Medium,Medium Value,Medium Revenue
Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,0,25-48 Months,Medium,1659.0,0.0,40,Medium,Medium Value,Medium Revenue
Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,1,25-48 Months,High,4669.45,99.35,70,High,High Value,Premium Revenue
Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,1,0-12 Months,Low,30.2,30.2,70,High,Low Value,Low Revenue
Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,0,49-72 Months,High,6498.0,0.0,0,Low,High Value,Premium Revenue
Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,1,13-24 Months,Medium,1099.9,64.7,40,Medium,Medium Value,Medium Revenue
Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,0,49-72 Months,High,6840.849999999999,0.0,30,Low,High Value,Premium Revenue
Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,0,0-12 Months,High,191.0,0.0,100,High,Low Value,Premium Revenue
Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,0,25-48 Months,Medium,1786.0500000000002,0.0,0,Low,Medium Value,Medium Revenue
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,0,0-12 Months,Low,20.2,0.0,70,High,Low Value,Low Revenue
